name,type,start_time,duration,"mosi","miso"
"SPI","enable",-7e-06,1.99999999e-08,,
"SPI","result",-1e-06,1.498e-05,0x44,0xFF
"SPI","result",2.594e-05,1.5e-05,0xFF,0x00
"SPI","disable",4.89e-05,1.99999999e-08,,
"SPI","enable",5.014e-05,1.99999999e-08,,
"SPI","result",5.614e-05,1.498e-05,0x44,0xFF
"SPI","result",8.308e-05,1.498e-05,0xFF,0x00
"SPI","disable",0.00010602,1.99999999e-08,,
"SPI","enable",0.00010728,1.99999995e-08,,
"SPI","result",0.00011326,1.5e-05,0x44,0xFF
"SPI","result",0.00014968,1.5e-05,0xFF,0x00
"SPI","disable",0.00017264,2.00000004e-08,,
"SPI","enable",0.00017388,2.00000004e-08,,
"SPI","result",0.00017988,1.498e-05,0x44,0xFF
"SPI","result",0.00020682,1.498e-05,0xFF,0x00
"SPI","disable",0.00022978,2.00000004e-08,,
"SPI","enable",0.00023102,2.00000004e-08,,
"SPI","result",0.00023702,1.498e-05,0x44,0xFF
"SPI","result",0.00026396,1.498e-05,0xFF,0x00
"SPI","disable",0.0002869,1.99999995e-08,,
"SPI","enable",0.00028814,1.99999995e-08,,
"SPI","result",0.00029414,1.498e-05,0x44,0xFF
"SPI","result",0.00032108,1.5e-05,0xFF,0x00
"SPI","disable",0.00034404,1.99999999e-08,,
"SPI","enable",0.00034528,1.99999999e-08,,
"SPI","result",0.00035128,1.498e-05,0x44,0xFF
"SPI","result",0.00037822,1.498e-05,0xFF,0x00
"SPI","disable",0.00040118,1.99999999e-08,,
"SPI","enable",0.00040242,1.99999999e-08,,
"SPI","result",0.0004084,1.5e-05,0x44,0xFF
"SPI","result",0.00043536,1.498e-05,0xFF,0x00
"SPI","disable",0.00047578,1.99999999e-08,,
"SPI","enable",0.00047702,1.99999999e-08,,
"SPI","result",0.00048302,1.498e-05,0x44,0xFF
"SPI","result",0.00050996,1.498e-05,0xFF,0x00
"SPI","disable",0.0005329,1.99999999e-08,,
"SPI","enable",0.00053416,1.99999995e-08,,
"SPI","result",0.00054014,1.5e-05,0x44,0xFF
"SPI","result",0.0005671,1.498e-05,0xFF,0x00
"SPI","disable",0.00059004,1.99999999e-08,,
"SPI","enable",0.00059128,1.99999999e-08,,
"SPI","result",0.00059728,1.498e-05,0x44,0xFF
"SPI","result",0.00062422,1.5e-05,0xFF,0x00
"SPI","disable",0.00064718,1.99999999e-08,,
"SPI","enable",0.00064842,1.99999999e-08,,
"SPI","result",0.00065442,1.498e-05,0x44,0xFF
"SPI","result",0.00068136,1.498e-05,0xFF,0x00
"SPI","disable",0.0007043,2.00000004e-08,,
"SPI","enable",0.00070556,1.99999995e-08,,
"SPI","result",0.00071154,1.5e-05,0x44,0xFF
"SPI","result",0.0007385,1.498e-05,0xFF,0x00
"SPI","disable",0.00076144,2.00000004e-08,,
"SPI","enable",0.00076268,2.00000004e-08,,
"SPI","result",0.00076868,1.498e-05,0x44,0xFF
"SPI","result",0.00080534,1.5e-05,0xFF,0x00
"SPI","disable",0.0008283,2.00000004e-08,,
"SPI","enable",0.00082954,2.00000004e-08,,
"SPI","result",0.00083554,1.498e-05,0x44,0xFF
"SPI","result",0.00086248,1.5e-05,0xFF,0x00
"SPI","disable",0.00095354,1.99999999e-08,,
"SPI","enable",0.0009548,1.99999999e-08,,
"SPI","result",0.00096078,1.5e-05,0x44,0xFF
"SPI","result",0.00098772,1.5e-05,0xFF,0xFF
"SPI","disable",0.00101092,1.99999999e-08,,
"SPI","enable",0.00101792,2.00000004e-08,,
"SPI","result",0.0010274,1.498e-05,0x04,0xFF
"SPI","result",0.00105584,1.498e-05,0x21,0xFF
"SPI","result",0.00108428,1.498e-05,0x71,0xFF
"SPI","result",0.00113418,1.498e-05,0x4B,0xFF
"SPI","result",0.00116262,1.498e-05,0x00,0xFF
"SPI","result",0.00119106,1.498e-05,0x00,0xFF
"SPI","result",0.0012195,1.5e-05,0xBA,0xFF
"SPI","result",0.00124794,1.5e-05,0x9E,0xFF
"SPI","disable",0.00127264,2.00000004e-08,,
"SPI","enable",0.00128188,1.99999999e-08,,
"SPI","result",0.00128786,1.5e-05,0x44,0xFF
"SPI","result",0.00131482,1.498e-05,0xFF,0x00
"SPI","disable",0.00133776,2.00000004e-08,,
"SPI","enable",0.00133902,1.99999999e-08,,
"SPI","result",0.001345,1.5e-05,0x44,0xFF
"SPI","result",0.00137194,1.5e-05,0xFF,0x00
"SPI","disable",0.0013949,2.00000004e-08,,
"SPI","enable",0.00139614,2.00000004e-08,,
