Time [s],SCLK,SDO,SDI,nSEL
-1.000000000,0,0,0,0
-0.000000020,1,1,1,1
0.000000000,0,0,0,0
0.000227660,1,1,1,1
0.000227680,0,0,0,0
0.182305020,0,1,0,0
0.188377440,0,0,0,0
0.188385620,0,1,0,0
0.408137100,0,1,0,1
0.408181000,0,1,0,0
0.408186980,1,1,0,0
0.408187980,0,1,1,0
0.408188980,1,1,1,0
0.408189980,0,1,0,0
0.408190980,1,1,0,0
0.408191980,0,1,0,0
0.408192980,1,1,0,0
0.408193960,0,1,0,0
0.408194960,1,1,0,0
0.408195960,0,1,1,0
0.408196960,1,1,1,0
0.408197960,0,1,0,0
0.408198960,1,1,0,0
0.408199960,0,1,0,0
0.408200960,1,1,0,0
0.408201940,0,1,0,0
0.408201960,0,0,0,0
0.408212180,0,0,1,0
0.408213920,1,0,1,0
0.408214920,0,0,1,0
0.408215920,1,0,1,0
0.408216920,0,0,1,0
0.408217920,1,0,1,0
0.408218920,0,0,1,0
0.408219920,1,0,1,0
0.408220900,0,0,1,0
0.408221900,1,0,1,0
0.408222900,0,0,1,0
0.408223900,1,0,1,0
0.408224900,0,0,1,0
0.408225900,1,0,1,0
0.408226900,0,0,1,0
0.408227900,1,0,1,0
0.408228880,0,0,1,0
0.408236860,0,0,1,1
0.408237600,0,1,1,1
0.408238120,0,1,1,0
0.408242360,0,1,0,0
0.408244100,1,1,0,0
0.408245100,0,1,1,0
0.408246100,1,1,1,0
0.408247100,0,1,0,0
0.408248100,1,1,0,0
0.408249080,0,1,0,0
0.408250080,1,1,0,0
0.408251080,0,1,0,0
0.408252080,1,1,0,0
0.408253080,0,1,1,0
0.408254080,1,1,1,0
0.408255080,0,1,0,0
0.408256080,1,1,0,0
0.408257060,0,1,0,0
0.408258060,1,1,0,0
0.408259060,0,1,0,0
0.408259080,0,0,0,0
0.408269280,0,0,1,0
0.408271040,1,0,1,0
0.408272040,0,0,1,0
0.408273040,1,0,1,0
0.408274020,0,0,1,0
0.408275020,1,0,1,0
0.408276020,0,0,1,0
0.408277020,1,0,1,0
0.408278020,0,0,1,0
0.408279020,1,0,1,0
0.408280020,0,0,1,0
0.408281020,1,0,1,0
0.408282000,0,0,1,0
0.408283000,1,0,1,0
0.408284000,0,0,1,0
0.408285000,1,0,1,0
0.408286000,0,0,1,0
0.408293980,0,0,1,1
0.408294860,0,1,1,1
0.408295220,0,1,1,0
0.408299480,0,1,0,0
0.408301220,1,1,0,0
0.408302220,0,1,1,0
0.408303220,1,1,1,0
0.408304220,0,1,0,0
0.408305220,1,1,0,0
0.408306200,0,1,0,0
0.408307200,1,1,0,0
0.408308200,0,1,0,0
0.408309200,1,1,0,0
0.408310200,0,1,1,0
0.408311200,1,1,1,0
0.408312200,0,1,0,0
0.408313200,1,1,0,0
0.408314180,0,1,0,0
0.408315180,1,1,0,0
0.408316180,0,1,0,0
0.408316200,0,0,0,0
0.408335900,0,0,1,0
0.408337640,1,0,1,0
0.408338640,0,0,1,0
0.408339640,1,0,1,0
0.408340640,0,0,1,0
0.408341620,1,0,1,0
0.408342620,0,0,1,0
0.408343620,1,0,1,0
0.408344620,0,0,1,0
0.408345620,1,0,1,0
0.408346620,0,0,1,0
0.408347620,1,0,1,0
0.408348620,0,0,1,0
0.408349620,1,0,1,0
0.408350600,0,0,1,0
0.408351600,1,0,1,0
0.408352600,0,0,1,0
0.408360580,0,0,1,1
0.408361340,0,1,1,1
0.408361820,0,1,1,0
0.408366060,0,1,0,0
0.408367820,1,1,0,0
0.408368820,0,1,1,0
0.408369820,1,1,1,0
0.408370800,0,1,1,0
0.408370820,0,1,0,0
0.408371800,1,1,0,0
0.408372800,0,1,0,0
0.408373800,1,1,0,0
0.408374800,0,1,0,0
0.408375800,1,1,0,0
0.408376800,0,1,1,0
0.408377800,1,1,1,0
0.408378780,0,1,1,0
0.408378800,0,1,0,0
0.408379780,1,1,0,0
0.408380780,0,1,0,0
0.408381780,1,1,0,0
0.408382780,0,1,0,0
0.408382800,0,0,0,0
0.408393000,0,0,1,0
0.408394760,1,0,1,0
0.408395740,0,0,1,0
0.408396740,1,0,1,0
0.408397740,0,0,1,0
0.408398740,1,0,1,0
0.408399740,0,0,1,0
0.408400740,1,0,1,0
0.408401740,0,0,1,0
0.408402740,1,0,1,0
0.408403740,0,0,1,0
0.408404740,1,0,1,0
0.408405720,0,0,1,0
0.408406720,1,0,1,0
0.408407720,0,0,1,0
0.408408720,1,0,1,0
0.408409720,0,0,1,0
0.408417700,0,0,1,1
0.408418460,0,1,1,1
0.408418940,0,1,1,0
0.408423200,0,1,0,0
0.408424940,1,1,0,0
0.408425940,0,1,1,0
0.408426940,1,1,1,0
0.408427940,0,1,0,0
