name,type,start_time,duration,"mosi","miso"
"SPI","disable",0.00193316,2.00000004e-08,,
"SPI","enable",0.0019344,2.00000004e-08,,
"SPI","result",0.0019404,1.5e-05,0x44,0xFF
"SPI","result",0.00196736,1.5e-05,0xFF,0x00
"SPI","disable",0.00199032,1.99999995e-08,,
"SPI","enable",0.00199158,1.99999999e-08,,
"SPI","result",0.00199758,1.498e-05,0x44,0xFF
"SPI","result",0.00202454,1.5e-05,0xFF,0x00
"SPI","disable",0.0020475,1.99999995e-08,,
"SPI","enable",0.00204874,1.99999999e-08,,
"SPI","result",0.00205474,1.5e-05,0x44,0xFF
"SPI","result",0.0020817,1.5e-05,0xFF,0x00
"SPI","disable",0.00210468,1.99999999e-08,,
"SPI","enable",0.00210592,1.99999999e-08,,
"SPI","result",0.00211192,1.5e-05,0x44,0xFF
"SPI","result",0.00213888,1.5e-05,0xFF,0x00
"SPI","disable",0.00216184,1.99999995e-08,,
"SPI","enable",0.0021631,1.99999999e-08,,
"SPI","result",0.00216908,1.5e-05,0x44,0xFF
"SPI","result",0.00220954,1.5e-05,0xFF,0x00
"SPI","disable",0.0022325,1.99999999e-08,,
"SPI","enable",0.00223374,1.99999999e-08,,
"SPI","result",0.00223974,1.5e-05,0x44,0xFF
"SPI","result",0.0022667,1.5e-05,0xFF,0x00
"SPI","disable",0.00228968,2.00000004e-08,,
"SPI","enable",0.00229092,2.00000004e-08,,
"SPI","result",0.00229692,1.5e-05,0x44,0xFF
"SPI","result",0.00232388,1.5e-05,0xFF,0x00
"SPI","disable",0.00234684,1.99999999e-08,,
"SPI","enable",0.00234808,1.99999999e-08,,
"SPI","result",0.00235408,1.5e-05,0x44,0xFF
"SPI","result",0.00238104,1.5e-05,0xFF,0x00
"SPI","disable",0.00240402,1.99999999e-08,,
"SPI","enable",0.00240526,1.99999999e-08,,
"SPI","result",0.00241126,1.498e-05,0x44,0xFF
"SPI","result",0.00243822,1.498e-05,0xFF,0x00
"SPI","disable",0.00246118,2.00000004e-08,,
"SPI","enable",0.00246242,2.00000004e-08,,
"SPI","result",0.00246842,1.5e-05,0x44,0xFF
"SPI","result",0.00249538,1.5e-05,0xFF,0x00
"SPI","disable",0.00253182,1.99999999e-08,,
"SPI","enable",0.00253308,2.00000004e-08,,
"SPI","result",0.00253906,1.5e-05,0x44,0xFF
"SPI","result",0.00256602,1.5e-05,0xFF,0x00
"SPI","disable",0.002589,1.99999999e-08,,
"SPI","enable",0.00259024,1.99999999e-08,,
"SPI","result",0.00259624,1.5e-05,0x44,0xFF
"SPI","result",0.0026232,1.5e-05,0xFF,0x00
"SPI","disable",0.00264616,1.99999999e-08,,
"SPI","enable",0.00264742,1.99999999e-08,,
"SPI","result",0.0026534,1.5e-05,0x44,0xFF
"SPI","result",0.00268038,1.498e-05,0xFF,0x00
"SPI","disable",0.00270334,2.00000004e-08,,
"SPI","enable",0.00270458,2.00000004e-08,,
"SPI","result",0.00271058,1.5e-05,0x44,0xFF
"SPI","result",0.00273754,1.5e-05,0xFF,0x00
"SPI","disable",0.0027605,1.99999999e-08,,
"SPI","enable",0.00276176,1.99999999e-08,,
"SPI","result",0.00276774,1.5e-05,0x44,0xFF
"SPI","result",0.00279472,1.498e-05,0xFF,0x00
"SPI","disable",0.00281768,1.99999999e-08,,
"SPI","enable",0.00281892,1.99999999e-08,,
"SPI","result",0.00282492,1.5e-05,0x44,0xFF
"SPI","result",0.00286536,1.5e-05,0xFF,0x00
"SPI","disable",0.00288832,1.99999999e-08,,
"SPI","enable",0.00288958,1.99999999e-08,,
"SPI","result",0.00289556,1.5e-05,0x44,0xFF
"SPI","result",0.00298294,1.5e-05,0xFF,0x00
"SPI","disable",0.0030059,1.99999995e-08,,
"SPI","enable",0.00300716,2.00000004e-08,,
"SPI","result",0.00301314,1.5e-05,0x44,0xFF
"SPI","result",0.0030401,1.5e-05,0xFF,0x00
"SPI","disable",0.00306308,1.99999995e-08,,
"SPI","enable",0.00306432,1.99999999e-08,,
"SPI","result",0.00307032,1.5e-05,0x44,0xFF
"SPI","result",0.00309728,1.5e-05,0xFF,0x00
"SPI","disable",0.00312024,1.99999995e-08,,
"SPI","enable",0.0031215,1.99999999e-08,,
"SPI","result",0.00312748,1.5e-05,0x44,0xFF
"SPI","result",0.00315444,1.5e-05,0xFF,0x00
"SPI","disable",0.0031909,1.99999999e-08,,
"SPI","enable",0.00319214,1.99999999e-08,,
"SPI","result",0.00319814,1.5e-05,0x44,0xFF
