name,type,start_time,duration,"mosi","miso"
"SPI","result",0.34117074,1.502e-05,0x44,0xFF
"SPI","result",0.34119772,1.502e-05,0xFF,0x00
"SPI","disable",0.34122072,1.99999995e-08,,
"SPI","enable",0.34122196,1.99999995e-08,,
"SPI","result",0.34122796,1.5e-05,0x44,0xFF
"SPI","result",0.34125494,1.502e-05,0xFF,0x00
"SPI","disable",0.34127792,2.00000004e-08,,
"SPI","enable",0.34127918,1.99999995e-08,,
"SPI","result",0.34128518,1.5e-05,0x44,0xFF
"SPI","result",0.34131216,1.5e-05,0xFF,0x00
"SPI","disable",0.34133514,1.99999995e-08,,
"SPI","enable",0.34133638,1.99999995e-08,,
"SPI","result",0.34134238,1.502e-05,0x44,0xFF
"SPI","result",0.34136938,1.5e-05,0xFF,0x00
"SPI","disable",0.3414096,1.99999995e-08,,
"SPI","enable",0.34141084,1.99999995e-08,,
"SPI","result",0.34141684,1.502e-05,0x44,0xFF
"SPI","result",0.34144382,1.502e-05,0xFF,0x00
"SPI","disable",0.34146682,2.00000004e-08,,
"SPI","enable",0.34146806,2.00000004e-08,,
"SPI","result",0.34147406,1.5e-05,0x44,0xFF
"SPI","result",0.34150104,1.5e-05,0xFF,0x00
"SPI","disable",0.34152402,1.99999995e-08,,
"SPI","enable",0.34152528,2.00000004e-08,,
"SPI","result",0.34153126,1.502e-05,0x44,0xFF
"SPI","result",0.34155826,1.5e-05,0xFF,0x00
"SPI","disable",0.34158124,2.00000004e-08,,
"SPI","enable",0.34158248,1.99999995e-08,,
"SPI","result",0.34158848,1.502e-05,0x44,0xFF
"SPI","result",0.34161546,1.502e-05,0xFF,0x00
"SPI","disable",0.34163846,2.00000004e-08,,
"SPI","enable",0.3416397,2.00000004e-08,,
"SPI","result",0.3416457,1.5e-05,0x44,0xFF
"SPI","result",0.34167268,1.502e-05,0xFF,0x00
"SPI","disable",0.34169566,2.00000004e-08,,
"SPI","enable",0.34169692,2.00000004e-08,,
"SPI","result",0.34170292,1.5e-05,0x44,0xFF
"SPI","result",0.3417434,1.5e-05,0xFF,0x00
"SPI","disable",0.34176638,2.00000004e-08,,
"SPI","enable",0.34176762,2.00000004e-08,,
"SPI","result",0.34177362,1.502e-05,0x44,0xFF
"SPI","result",0.3418006,1.502e-05,0xFF,0x00
"SPI","disable",0.3418236,2.00000004e-08,,
"SPI","enable",0.34182484,1.99999995e-08,,
"SPI","result",0.34183084,1.502e-05,0x44,0xFF
"SPI","result",0.34185782,1.502e-05,0xFF,0x00
"SPI","disable",0.34188082,2.00000004e-08,,
"SPI","enable",0.34188206,1.99999995e-08,,
"SPI","result",0.34188806,1.5e-05,0x44,0xFF
"SPI","result",0.34191504,1.502e-05,0xFF,0x00
"SPI","disable",0.34193804,1.99999995e-08,,
"SPI","enable",0.34193928,2.00000004e-08,,
"SPI","result",0.34194528,1.5e-05,0x44,0xFF
"SPI","result",0.34197226,1.502e-05,0xFF,0x00
"SPI","disable",0.34199524,2.00000004e-08,,
"SPI","enable",0.3419965,2.00000004e-08,,
"SPI","result",0.3420025,1.5e-05,0x44,0xFF
"SPI","result",0.34202948,1.5e-05,0xFF,0x00
"SPI","disable",0.3420657,2.00000004e-08,,
"SPI","enable",0.34206696,2.00000004e-08,,
"SPI","result",0.34207296,1.5e-05,0x44,0xFF
"SPI","result",0.34209994,1.5e-05,0xFF,0x00
"SPI","disable",0.34212292,1.99999995e-08,,
"SPI","enable",0.34212418,2.00000004e-08,,
"SPI","result",0.34213016,1.502e-05,0x44,0xFF
"SPI","result",0.34215716,1.5e-05,0xFF,0x00
"SPI","disable",0.3422326,1.99999995e-08,,
"SPI","enable",0.34223386,2.00000004e-08,,
"SPI","result",0.34223986,1.5e-05,0x44,0xFF
"SPI","result",0.34226684,1.502e-05,0xFF,0x00
"SPI","disable",0.34228982,1.99999995e-08,,
"SPI","enable",0.34229108,1.99999995e-08,,
"SPI","result",0.34229708,1.5e-05,0x44,0xFF
"SPI","result",0.34232406,1.5e-05,0xFF,0x00
"SPI","disable",0.34234704,2.00000004e-08,,
"SPI","enable",0.3423483,1.99999995e-08,,
"SPI","result",0.3423543,1.5e-05,0x44,0xFF
"SPI","result",0.34240276,1.502e-05,0xFF,0x00
"SPI","disable",0.34242574,1.99999995e-08,,
"SPI","enable",0.342427,2.00000004e-08,,
"SPI","result",0.342433,1.5e-05,0x44,0xFF
"SPI","result",0.34245998,1.502e-05,0xFF,0x00
"SPI","disable",0.34248296,1.99999995e-08,,
"SPI","enable",0.34248422,2.00000004e-08,,
"SPI","result",0.34249022,1.5e-05,0x44,0xFF
"SPI","result",0.3425172,1.5e-05,0xFF,0x00
"SPI","disable",0.34254018,1.99999995e-08,,
"SPI","enable",0.34254142,2.00000004e-08,,
"SPI","result",0.34254742,1.502e-05,0x44,0xFF
"SPI","result",0.34257442,1.5e-05,0xFF,0x00
"SPI","disable",0.3425974,2.00000004e-08,,
"SPI","enable",0.34259864,2.00000004e-08,,
"SPI","result",0.34260464,1.502e-05,0x44,0xFF
"SPI","result",0.34263162,1.502e-05,0xFF,0x00
"SPI","disable",0.34265462,2.00000004e-08,,
"SPI","enable",0.34265586,2.00000004e-08,,
"SPI","result",0.34266186,1.5e-05,0x44,0xFF
"SPI","result",0.34268884,1.502e-05,0xFF,0x00
"SPI","disable",0.34272532,2.00000004e-08,,
"SPI","enable",0.34272656,2.00000013e-08,,
"SPI","result",0.34273256,1.502e-05,0x44,0xFF
"SPI","result",0.34275956,1.5e-05,0xFF,0x00
"SPI","disable",0.34278254,1.99999995e-08,,
"SPI","enable",0.34278378,1.99999995e-08,,
"SPI","result",0.34278978,1.5e-05,0x44,0xFF
"SPI","result",0.34281676,1.502e-05,0xFF,0x00
"SPI","disable",0.34283974,2.00000004e-08,,
"SPI","enable",0.342841,1.99999995e-08,,
"SPI","result",0.342847,1.5e-05,0x44,0xFF
"SPI","result",0.34287398,1.5e-05,0xFF,0x00
"SPI","disable",0.34289696,2.00000013e-08,,
"SPI","enable",0.34289822,1.99999995e-08,,
"SPI","result",0.34290422,1.5e-05,0x44,0xFF
"SPI","result",0.3429312,1.5e-05,0xFF,0x00
"SPI","disable",0.34295418,1.99999995e-08,,
"SPI","enable",0.34295544,2.00000004e-08,,
"SPI","result",0.34296144,1.5e-05,0x44,0xFF
"SPI","result",0.34298842,1.5e-05,0xFF,0x00
"SPI","disable",0.3430114,1.99999995e-08,,
"SPI","enable",0.34301264,1.99999995e-08,,
"SPI","result",0.34301864,1.502e-05,0x44,0xFF
"SPI","result",0.34305912,1.5e-05,0xFF,0x00
"SPI","disable",0.3430821,1.99999995e-08,,
"SPI","enable",0.34308336,2.00000004e-08,,
"SPI","result",0.34308934,1.502e-05,0x44,0xFF
"SPI","result",0.34311634,1.5e-05,0xFF,0x00
"SPI","disable",0.34313932,1.99999995e-08,,
"SPI","enable",0.34314056,1.99999995e-08,,
"SPI","result",0.34314658,1.5e-05,0x44,0xFF
"SPI","result",0.34317356,1.5e-05,0xFF,0x00
"SPI","disable",0.34319654,2.00000013e-08,,
"SPI","enable",0.34319778,2.00000004e-08,,
"SPI","result",0.34320378,1.502e-05,0x44,0xFF
"SPI","result",0.34323078,1.5e-05,0xFF,0x00
"SPI","disable",0.34325376,2.00000004e-08,,
"SPI","enable",0.343255,2.00000013e-08,,
"SPI","result",0.343261,1.502e-05,0x44,0xFF
"SPI","result",0.34328798,1.502e-05,0xFF,0x00
"SPI","disable",0.34331098,2.00000004e-08,,
"SPI","enable",0.34331222,1.99999995e-08,,
"SPI","result",0.34331822,1.5e-05,0x44,0xFF
"SPI","result",0.3433452,1.5e-05,0xFF,0x00
"SPI","disable",0.34338568,1.99999995e-08,,
"SPI","enable",0.34338692,1.99999995e-08,,
"SPI","result",0.34339292,1.502e-05,0x44,0xFF
"SPI","result",0.3434199,1.502e-05,0xFF,0x00
"SPI","disable",0.34344288,2.00000004e-08,,
"SPI","enable",0.34344414,2.00000004e-08,,
"SPI","result",0.34345014,1.5e-05,0x44,0xFF
"SPI","result",0.34347712,1.5e-05,0xFF,0x00
"SPI","disable",0.3435001,1.99999995e-08,,
"SPI","enable",0.34350136,2.00000004e-08,,
"SPI","result",0.34350736,1.5e-05,0x44,0xFF
"SPI","result",0.34353434,1.5e-05,0xFF,0x00
"SPI","disable",0.34355732,1.99999995e-08,,
"SPI","enable",0.34355856,1.99999995e-08,,
"SPI","result",0.34356456,1.502e-05,0x44,0xFF
"SPI","result",0.34359154,1.502e-05,0xFF,0x00
"SPI","disable",0.34361452,2.00000013e-08,,
"SPI","enable",0.34361578,2.00000004e-08,,
"SPI","result",0.34362178,1.5e-05,0x44,0xFF
"SPI","result",0.34364876,1.5e-05,0xFF,0x00
"SPI","disable",0.34367174,1.99999995e-08,,
"SPI","enable",0.34367298,2.00000004e-08,,
"SPI","result",0.34367898,1.502e-05,0x44,0xFF
"SPI","result",0.34371946,1.502e-05,0xFF,0x00
"SPI","disable",0.34374244,1.99999995e-08,,
