Time [s],SCLK,SDO,SDI,nSEL
0.339613920,1,0,1,0
0.339614920,0,0,1,0
0.339622920,0,0,1,1
0.339623600,0,1,1,1
0.339624160,0,1,1,0
0.339628400,0,1,0,0
0.339630160,1,1,0,0
0.339631160,0,1,1,0
0.339632160,1,1,1,0
0.339633160,0,1,0,0
0.339634160,1,1,0,0
0.339635160,0,1,0,0
0.339636160,1,1,0,0
0.339637160,0,1,0,0
0.339638160,1,1,0,0
0.339639160,0,1,1,0
0.339640160,1,1,1,0
0.339641160,0,1,0,0
0.339642160,1,1,0,0
0.339643160,0,1,0,0
0.339644160,1,1,0,0
0.339645140,0,1,0,0
0.339645160,0,0,0,0
0.339655400,0,0,1,0
0.339657140,1,0,1,0
0.339658140,0,0,1,0
0.339659140,1,0,1,0
0.339660140,0,0,1,0
0.339661140,1,0,1,0
0.339662140,0,0,1,0
0.339663140,1,0,1,0
0.339664140,0,0,1,0
0.339665140,1,0,1,0
0.339666140,0,0,1,0
0.339667140,1,0,1,0
0.339668140,0,0,1,0
0.339669140,1,0,1,0
0.339670140,0,0,1,0
0.339671140,1,0,1,0
0.339672140,0,0,1,0
0.339680120,0,0,1,1
0.339680820,0,1,1,1
0.339681380,0,1,1,0
0.339685620,0,1,0,0
0.339687380,1,1,0,0
0.339688380,0,1,1,0
0.339689380,1,1,1,0
0.339690380,0,1,0,0
0.339691380,1,1,0,0
0.339692380,0,1,0,0
0.339693380,1,1,0,0
0.339694380,0,1,0,0
0.339695380,1,1,0,0
0.339696380,0,1,1,0
0.339697380,1,1,1,0
0.339698360,0,1,1,0
0.339698380,0,1,0,0
0.339699360,1,1,0,0
0.339700360,0,1,0,0
0.339701360,1,1,0,0
0.339702360,0,1,0,0
0.339702380,0,0,0,0
0.339712620,0,0,1,0
0.339714360,1,0,1,0
0.339715360,0,0,1,0
0.339716360,1,0,1,0
0.339717360,0,0,1,0
0.339718360,1,0,1,0
0.339719360,0,0,1,0
0.339720360,1,0,1,0
0.339721360,0,0,1,0
0.339722360,1,0,1,0
0.339723360,0,0,1,0
0.339724360,1,0,1,0
0.339725360,0,0,1,0
0.339726360,1,0,1,0
0.339727360,0,0,1,0
0.339728360,1,0,1,0
0.339729360,0,0,1,0
0.339758600,0,0,1,1
0.339759300,0,1,1,1
0.339759840,0,1,1,0
0.339764080,0,1,0,0
0.339765840,1,1,0,0
0.339766840,0,1,1,0
0.339767840,1,1,1,0
0.339768840,0,1,0,0
0.339769840,1,1,0,0
0.339770840,0,1,0,0
0.339771840,1,1,0,0
0.339772840,0,1,0,0
0.339773840,1,1,0,0
0.339774840,0,1,1,0
0.339775840,1,1,1,0
0.339776840,0,1,0,0
0.339777840,1,1,0,0
0.339778820,0,1,0,0
0.339779820,1,1,0,0
0.339780820,0,1,0,0
0.339780840,0,0,0,0
0.339791080,0,0,1,0
0.339792820,1,0,1,0
0.339793820,0,0,1,0
0.339794820,1,0,1,0
0.339795820,0,0,1,0
0.339796820,1,0,1,0
0.339797820,0,0,1,0
0.339798820,1,0,1,0
0.339799820,0,0,1,0
0.339800820,1,0,1,0
0.339801820,0,0,1,0
0.339802820,1,0,1,0
0.339803820,0,0,1,0
0.339804820,1,0,1,0
0.339805800,0,0,1,0
0.339806820,1,0,1,0
0.339807800,0,0,1,0
0.339815800,0,0,1,1
0.339816500,0,1,1,1
0.339817060,0,1,1,0
0.339821300,0,1,0,0
0.339823060,1,1,0,0
0.339824060,0,1,1,0
0.339825060,1,1,1,0
0.339826060,0,1,0,0
0.339827060,1,1,0,0
0.339828040,0,1,0,0
0.339829040,1,1,0,0
0.339830040,0,1,0,0
0.339831040,1,1,0,0
0.339832040,0,1,1,0
0.339833040,1,1,1,0
0.339834040,0,1,0,0
0.339835040,1,1,0,0
0.339836040,0,1,0,0
0.339837040,1,1,0,0
0.339838040,0,1,0,0
0.339838060,0,0,0,0
0.339848280,0,0,1,0
0.339850040,1,0,1,0
0.339851040,0,0,1,0
0.339852040,1,0,1,0
0.339853040,0,0,1,0
0.339854040,1,0,1,0
0.339855040,0,0,1,0
0.339856040,1,0,1,0
0.339857040,0,0,1,0
0.339858040,1,0,1,0
0.339859040,0,0,1,0
0.339860040,1,0,1,0
0.339861040,0,0,1,0
0.339862040,1,0,1,0
0.339863040,0,0,1,0
0.339864040,1,0,1,0
0.339865040,0,0,1,0
0.339873020,0,0,1,1
0.339873720,0,1,1,1
0.339874280,0,1,1,0
0.339878520,0,1,0,0
0.339880280,1,1,0,0
0.339881280,0,1,1,0
0.339882280,1,1,1,0
0.339883260,0,1,0,0
0.339884280,1,1,0,0
0.339885260,0,1,0,0
0.339886260,1,1,0,0
0.339887260,0,1,0,0
0.339888260,1,1,0,0
0.339889260,0,1,1,0
0.339890260,1,1,1,0
0.339891260,0,1,0,0
