name,type,start_time,duration,"mosi","miso"
"SPI","enable",7.5994766e-17,1.99999995e-08,,
"SPI","disable",0.09549092,1.99999995e-08,,
"SPI","enable",0.09549094,2.00000004e-08,,
"SPI","disable",0.09549096,1.99999995e-08,,
"SPI","enable",0.095491,1.99999995e-08,,
"SPI","disable",0.09549102,2.00000004e-08,,
"SPI","enable",0.09549104,2.00000004e-08,,
"SPI","disable",0.09549106,1.99999995e-08,,
"SPI","enable",0.09549118,2.00000004e-08,,
"SPI","disable",0.0954913,1.99999995e-08,,
"SPI","enable",0.09549138,1.99999995e-08,,
"SPI","disable",0.4829958,2.00000004e-08,,
"SPI","enable",0.48303982,1.99999995e-08,,
"SPI","result",0.48304582,1.502e-05,0x44,0xFF
"SPI","result",0.48307282,1.502e-05,0xFF,0x00
"SPI","disable",0.48309582,2.00000004e-08,,
"SPI","enable",0.48309708,2.00000004e-08,,
"SPI","result",0.48310308,1.502e-05,0x44,0xFF
"SPI","result",0.48313008,1.502e-05,0xFF,0x00
"SPI","disable",0.48315308,1.99999995e-08,,
"SPI","enable",0.48315434,2.00000004e-08,,
"SPI","result",0.48316034,1.502e-05,0x44,0xFF
"SPI","result",0.48318734,1.504e-05,0xFF,0x00
"SPI","disable",0.48321036,1.99999995e-08,,
"SPI","enable",0.4832116,1.99999995e-08,,
"SPI","result",0.4832176,1.502e-05,0x44,0xFF
"SPI","result",0.4832446,1.502e-05,0xFF,0x00
"SPI","disable",0.48328886,1.99999995e-08,,
"SPI","enable",0.48329012,2.00000004e-08,,
"SPI","result",0.48329612,1.502e-05,0x44,0xFF
"SPI","result",0.48332312,1.502e-05,0xFF,0x00
"SPI","disable",0.48334612,1.99999995e-08,,
"SPI","enable",0.48334738,2.00000004e-08,,
"SPI","result",0.48335338,1.502e-05,0x44,0xFF
"SPI","result",0.48338038,1.502e-05,0xFF,0x00
"SPI","disable",0.48340338,2.00000004e-08,,
"SPI","enable",0.48340462,2.00000004e-08,,
"SPI","result",0.48341064,1.502e-05,0x44,0xFF
"SPI","result",0.48343764,1.502e-05,0xFF,0x00
"SPI","disable",0.48346064,1.99999995e-08,,
"SPI","enable",0.48346188,1.99999995e-08,,
"SPI","result",0.4834679,1.502e-05,0x44,0xFF
"SPI","result",0.4834949,1.502e-05,0xFF,0x00
"SPI","disable",0.4835179,2.00000004e-08,,
"SPI","enable",0.48351916,1.99999995e-08,,
"SPI","result",0.48352516,1.502e-05,0x44,0xFF
"SPI","result",0.48355216,1.502e-05,0xFF,0x00
"SPI","disable",0.48357516,2.00000004e-08,,
"SPI","enable",0.48357642,1.99999995e-08,,
"SPI","result",0.48358242,1.502e-05,0x44,0xFF
"SPI","result",0.48362692,1.504e-05,0xFF,0x00
"SPI","disable",0.48364994,1.99999995e-08,,
"SPI","enable",0.48365118,2.00000004e-08,,
"SPI","result",0.48365718,1.502e-05,0x44,0xFF
"SPI","result",0.4836842,1.502e-05,0xFF,0x00
"SPI","disable",0.4837072,2.00000004e-08,,
"SPI","enable",0.48370844,2.00000004e-08,,
"SPI","result",0.48371446,1.502e-05,0x44,0xFF
"SPI","result",0.48374146,1.502e-05,0xFF,0x00
"SPI","disable",0.48376446,1.99999995e-08,,
"SPI","enable",0.4837657,1.99999995e-08,,
"SPI","result",0.48377172,1.502e-05,0x44,0xFF
"SPI","result",0.48379872,1.502e-05,0xFF,0x00
"SPI","disable",0.48382172,2.00000004e-08,,
"SPI","enable",0.48382298,1.99999995e-08,,
"SPI","result",0.48382898,1.502e-05,0x44,0xFF
"SPI","result",0.48385598,1.502e-05,0xFF,0x00
"SPI","disable",0.48387898,2.00000004e-08,,
"SPI","enable",0.48388024,1.99999995e-08,,
"SPI","result",0.48388624,1.502e-05,0x44,0xFF
"SPI","result",0.48399976,1.502e-05,0xFF,0x00
"SPI","disable",0.48402276,2.00000004e-08,,
"SPI","enable",0.48402402,2.00000004e-08,,
"SPI","result",0.48403002,1.502e-05,0x44,0xFF
